@relation 'numeric-weka.filters.unsupervised.attribute.Remove-R1-27,30-56,58-72,74-89,91-93,95-124,127-129,131-137,139-188,190-191,194-198,203-210,212-216,219-229'

@attribute Var28 numeric
@attribute Var29 numeric
@attribute Var57 numeric
@attribute Var73 numeric
@attribute Var90 numeric
@attribute Var94 numeric
@attribute Var125 numeric
@attribute Var126 numeric
@attribute Var130 numeric
@attribute Var138 numeric
@attribute Var189 numeric
@attribute Var192 numeric
@attribute Var193 numeric
@attribute Var199 numeric
@attribute Var200 numeric
@attribute Var201 numeric
@attribute Var202 numeric
@attribute Var211 numeric
@attribute Var217 numeric
@attribute Var218 numeric
@attribute Var230 {0,1}

@data
186.64,?,6.8534,166,?,139340,18324,-20,?,?,?,78,1,6349,963,0,3143,2,16121,1,0
238.96,?,5.9641,16,?,56082,0,4,?,?,?,166,6,5603,0,0,1368,1,5651,1,0
327.12,?,3.7968,54,?,6210,38610,-22,?,?,138,397,26,2149,7353,2,333,2,11694,1,1
323.44,?,5.1209,32,?,2070,90450,-22,?,?,222,251,26,4837,0,0,4093,2,12637,2,0
166.56,?,0.83935,114,?,159880,5076,-28,?,?,?,222,1,1411,5438,2,479,1,11651,1,0
379.2,?,5.1085,20,?,1062,0,4,?,?,?,257,26,6082,0,0,2816,1,13983,1,0
186.64,?,6.3529,14,?,3558,0,4,?,?,?,13,26,1277,0,0,3235,1,12969,2,0
200,?,2.777,66,?,5193,67707,40,?,?,?,5,26,2350,18440,0,490,1,3628,2,0
265.76,?,5.1938,112,?,?,3087,-16,?,?,318,273,1,6246,15022,2,746,2,7633,2,0
166.56,?,6.3538,26,?,5958,0,4,?,?,?,83,26,2350,0,0,407,1,9532,1,0
291.68,?,0.68725,130,?,74676,29457,?,?,?,276,126,1,2273,0,0,5813,1,4469,1,0
253.52,?,4.0175,16,?,384,0,-24,?,?,?,348,26,3825,0,0,4738,2,14861,2,0
166.56,?,4.5253,172,?,?,1197,?,?,?,228,202,1,4611,13238,0,4798,1,11284,1,0
176.56,?,2.736,90,?,92511,12501,?,?,?,276,232,20,5249,1023,0,5226,1,18102,2,0
153.2,?,6.2551,26,?,36375,0,4,?,?,?,45,26,3099,0,0,1155,1,2581,1,0
223.84,?,5.1707,34,?,?,?,?,?,?,192,12,26,2730,0,0,2354,1,1692,1,0
233.44,?,0.057039,86,?,663,93195,?,?,?,?,44,26,414,22568,2,3384,1,11680,1,0
113.04,?,3.9742,148,?,0,217800,?,?,?,?,161,1,7661,19737,0,1375,1,10949,2,0
166.56,?,1.3865,22,?,?,0,-30,?,?,?,363,26,5568,0,0,2900,1,14332,1,0
253.52,?,4.5693,60,?,?,4383,36,?,?,384,56,26,2442,2306,2,409,1,4526,1,0
518.72,?,6.0592,170,?,100040,23607,?,?,?,?,21,1,4936,0,0,4355,1,4455,1,0
199.12,?,3.2978,166,?,156520,11934,12,?,?,?,33,37,6454,14767,0,4351,1,8075,2,0
253.52,?,4.4315,40,?,846,1143,?,?,?,?,130,26,5635,0,0,4088,1,791,1,0
166.56,?,3.2023,68,?,45519,57834,?,?,?,?,363,26,414,3765,0,1751,1,15506,1,0
135.68,?,1.0705,32,?,33816,279,-30,?,?,?,67,6,1218,0,0,3129,1,10660,2,0
?,?,1.8148,8,?,?,?,-18,?,0,?,94,26,2831,0,0,2089,2,9737,2,0
200,?,5.7958,240,?,?,19926,?,?,?,?,7,32,2506,11449,0,5594,1,3247,2,0
286.96,?,0.36573,36,?,144400,15804,-20,?,?,174,131,26,2357,0,0,3222,2,755,2,0
?,?,1.0295,10,?,?,?,4,?,?,468,13,26,6254,0,0,1248,1,9881,2,0
286.96,?,4.3377,22,?,444390,0,4,?,?,?,155,26,1852,0,0,1473,1,4839,2,0
173.28,?,6.113,16,?,2730,0,-30,?,?,288,384,34,6261,0,0,767,1,12948,2,0
137.68,?,4.2158,118,?,?,62838,?,?,?,?,364,26,2820,5484,2,411,1,14815,1,0
200,?,0.52596,58,?,?,7992,?,?,?,?,266,26,2506,10410,2,4906,1,4642,2,0
99.68,?,4.4535,70,?,?,45828,?,?,?,?,6,26,3619,10559,2,21,1,7072,2,0
220.08,?,1.047,16,?,?,0,-8,?,?,?,155,26,2846,0,0,3355,1,3460,1,0
133.12,?,0.72912,44,?,?,71946,?,?,?,?,268,26,4990,0,0,1316,1,7297,2,0
253.52,?,3.2527,38,?,0,1908,14,?,?,360,91,26,6583,0,0,4043,1,14494,2,0
72.88,?,3.2534,128,?,4449,3951,4,?,?,174,209,26,529,6842,0,803,1,17640,2,0
230.56,?,1.5879,16,?,33753,0,-8,?,?,156,231,26,1272,0,0,1877,2,18859,1,0
286.96,?,0.23243,38,?,44820,133040,14,?,?,?,374,26,4990,0,0,5065,1,18382,2,0
263.52,?,0.69387,200,?,?,53424,?,?,?,?,335,49,2053,4771,2,3451,1,13453,1,0
265.68,?,5.2006,14,?,?,0,4,?,?,?,176,26,6896,0,0,3477,1,16274,1,0
0,?,1.0365,32,?,1452,22842,?,?,?,?,321,26,4797,0,0,1109,1,18218,2,0
166.56,?,6.7802,106,?,?,6624,56,?,?,306,38,26,2820,0,0,4029,1,505,1,0
66.16,?,5.1754,172,?,?,23508,?,?,?,?,384,1,5332,0,0,4298,1,0,0,0
291.28,?,0.76458,84,?,38490,26289,-24,?,?,?,365,6,1656,19696,0,1654,2,1130,2,0
200,?,6.41,78,?,886950,9369,?,?,?,?,123,26,4837,7320,2,3858,1,13453,1,0
166.56,?,2.1444,30,?,?,26613,-20,?,?,252,37,26,5304,0,0,4792,2,13541,1,0
296.96,?,3.8428,30,?,54435,729,4,?,?,?,182,26,4951,0,0,5236,1,16615,2,0
173.2,?,1.2726,212,?,12738,5364,?,?,?,252,155,1,1725,0,0,4423,1,10826,1,0
166.56,?,2.4937,52,?,?,0,-28,?,?,288,382,26,1150,22353,0,4483,1,7546,2,0
133.12,?,0.15937,60,?,186,4581,-20,?,?,?,368,26,2061,5643,0,980,2,5804,2,0
166.56,?,2.825,142,?,2442,9207,?,?,?,246,118,1,5733,15326,2,3188,1,4780,1,0
270.64,?,3.0171,16,?,12498,0,-8,?,?,?,287,26,3895,0,0,1492,2,8395,1,0
166.56,?,5.953,42,?,?,90,18,?,?,?,360,26,4776,0,0,372,1,18586,1,0
287.36,?,4.8787,16,?,?,0,-8,?,?,144,328,26,2301,0,0,3365,2,521,1,0
200,?,1.5629,76,?,?,531,?,?,?,150,92,26,775,18884,2,3846,1,17086,1,0
253.52,?,5.5097,34,?,?,68697,?,?,?,?,363,26,2141,0,0,3682,1,5325,1,0
301.6,?,2.3892,32,?,?,3060,8,?,?,246,45,26,5644,0,0,709,1,1707,1,1
332.8,?,6.871,22,?,?,0,-24,?,?,?,273,26,6407,0,0,4736,1,12235,2,0
200,?,4.1451,34,?,33210,71559,8,?,?,?,178,6,5136,0,0,1150,1,5990,1,0
264,?,1.2566,18,?,107930,0,-8,?,?,?,57,26,2791,0,0,1655,2,8013,1,0
166.56,?,3.0164,44,?,?,549,?,?,?,162,246,26,873,0,0,1466,1,5968,2,0
186.64,?,1.3971,66,?,?,2772,8,?,?,252,153,26,2053,14476,2,671,1,18456,1,0
?,0,6.9246,4,0,?,?,?,?,?,252,181,26,6534,0,0,1937,1,8466,2,0
120.4,?,1.3046,18,?,792,0,?,?,?,432,276,26,5789,0,0,4135,1,4375,1,0
353.44,?,6.4326,130,?,?,113840,-30,?,?,?,380,1,4072,6440,2,4956,1,9001,1,0
220.08,?,4.5975,16,?,34212,0,4,?,?,264,5,26,713,0,0,4336,1,9611,1,0
253.52,?,0.77676,74,?,9666,6984,26,?,?,?,222,6,1852,0,0,3338,1,13261,2,0
186.64,?,6.0013,26,?,45846,0,4,?,?,?,50,26,6333,0,0,5641,1,15659,2,0
327.6,?,5.22,88,?,39912,106900,?,?,?,264,66,26,4837,8533,0,1437,1,0,0,0
296.96,?,2.5546,18,?,1788,0,-8,?,?,?,357,26,6098,0,0,194,2,5558,2,0
338.4,?,0.10938,32,?,40734,279,?,?,?,168,202,26,6614,0,0,4161,1,10388,2,0
166.56,?,4.4589,110,?,?,27378,54,?,?,?,395,26,1665,11767,2,3923,1,8971,1,0
166.56,?,5.4176,56,?,?,37062,-18,?,?,294,45,26,5687,1016,0,92,2,16137,2,0
253.52,?,3.5465,60,?,6960,76275,36,?,?,?,222,26,3814,13034,0,632,1,1282,2,0
200,?,6.9789,34,?,69492,35100,4,?,?,?,45,26,7534,0,0,4549,1,5542,2,0
206.72,?,3.7498,70,?,0,63207,-20,?,?,?,234,26,1656,6683,0,1722,2,16071,2,0
166.56,?,2.5954,96,?,62367,40806,4,?,?,?,276,26,6930,0,0,4916,1,74,1,0
357.84,?,3.4433,16,?,40062,0,?,?,?,?,205,26,830,0,0,2059,1,11505,1,1
186.64,?,6.3758,94,?,?,59256,-20,?,?,?,148,26,1852,1440,2,5898,2,5272,1,0
269.36,?,5.8661,170,?,20613,8298,?,?,?,?,246,1,80,6611,0,1742,1,15695,1,0
220.08,?,0.45802,102,?,56532,7731,?,?,?,?,130,20,1272,0,0,3137,1,227,1,0
166.56,?,1.1324,178,?,7203,100380,?,?,?,?,5,46,1665,4184,0,2318,1,7289,2,0
220.08,?,0.93185,36,?,?,13698,4,?,?,348,35,26,3063,0,0,2947,1,8845,1,0
66.88,?,6.9709,128,?,?,132880,-16,?,?,456,222,1,5935,17738,2,4266,2,1827,1,0
220.08,?,5.7928,38,?,?,4698,-30,?,?,?,152,26,267,0,0,5388,1,1856,1,1
133.12,?,1.6793,92,?,96,3609,?,?,?,390,80,26,1021,1737,2,3086,1,12868,1,0
539.76,?,0.40996,16,?,28212,0,-8,?,?,?,254,26,2250,0,0,860,2,4486,1,0
257.12,?,5.0634,16,?,256390,0,4,?,?,?,384,26,8063,0,0,1441,1,5803,1,0
166.56,?,0.99423,52,?,?,?,28,?,?,?,104,6,4062,0,0,3686,1,16531,2,0
361.6,?,1.4745,30,?,146250,18450,6,?,?,?,84,26,4592,0,0,598,1,18628,2,0
200,?,0.70647,130,?,3741,46620,?,?,?,366,236,1,5333,18391,2,2114,1,1768,1,0
166.56,?,3.7776,42,?,141920,657,18,?,?,?,38,26,6407,0,0,1482,1,11996,2,0
253.52,?,4.9682,40,?,8958,369,-18,?,?,402,290,26,3024,0,0,4620,2,9777,2,0
286.96,?,6.8376,34,?,41046,1746,-22,?,?,?,144,26,2406,0,0,3630,2,17813,1,0
137.68,?,5.0923,144,?,146960,828,?,?,?,?,181,46,4117,11214,0,1384,1,16919,2,0
?,?,2.0675,6,?,?,?,-18,0,?,?,389,34,2083,0,0,1608,1,16553,1,0
275.92,?,5.2185,58,?,69882,106460,34,?,?,?,246,26,6512,2653,0,483,1,1567,2,0
66.88,?,0.83294,152,?,?,3249,4,?,?,?,121,19,3819,11698,0,667,1,5363,2,0
186.64,?,0.72527,108,?,?,51570,?,?,?,?,57,1,5760,13507,0,1801,1,17883,1,0
220.08,?,1.6866,28,?,?,0,-20,?,?,156,13,26,8105,0,0,2797,2,5951,1,0
220.08,?,0.87289,20,?,81894,0,4,?,?,?,366,6,5614,0,0,5533,1,12149,2,0
166.56,?,0.92673,68,?,123150,199860,-30,?,?,?,309,26,1665,16739,0,1857,1,12834,2,0
253.52,?,2.1472,88,?,?,1089,?,?,?,258,123,26,7574,11030,0,965,1,7258,2,0
319.28,?,1.8846,148,?,5175,3240,-30,?,?,?,382,37,5411,11637,0,4112,1,11287,2,0
199.92,?,0.38838,120,?,366,17784,?,?,?,?,33,18,2600,15090,0,1451,1,18241,2,0
333.12,?,1.5375,52,?,406400,215350,-24,?,?,300,58,26,8080,19595,2,1936,2,14298,1,0
441.76,?,5.963,212,?,?,11646,?,?,?,?,84,29,2506,19468,0,4393,1,14951,2,0
504.16,?,4.897,126,?,64929,113250,-12,?,?,210,380,44,7543,1062,2,4956,2,9001,1,0
240.96,?,6.561,132,?,5316,5805,-8,?,?,150,98,1,1265,15745,0,5388,2,1856,1,0
?,?,3.1023,10,?,?,?,-14,?,?,246,304,26,4016,0,0,3318,2,5487,1,1
133.12,?,2.7605,46,?,?,55341,?,?,?,?,397,26,1218,0,0,3861,1,1699,1,0
233.44,?,4.4397,100,?,5283,13230,-22,?,?,?,155,26,4016,10386,2,3355,2,3460,1,0
238.72,?,1.6661,12,?,9279,0,-30,?,?,426,251,26,5935,0,0,3319,1,9342,1,0
253.52,?,1.5204,156,?,165450,12213,4,?,?,?,286,1,2710,6914,2,5310,1,19006,1,0
233.44,?,1.5636,82,?,?,9,58,?,?,300,216,26,6082,13968,2,5300,1,9061,1,0
288.16,?,2.3318,22,?,?,0,4,?,?,?,68,26,3332,0,0,1637,1,272,2,0
253.52,?,2.7631,34,?,?,26172,-28,?,?,?,23,26,2083,0,0,686,1,7589,2,0
166.56,?,0.511,18,?,?,0,4,?,?,?,8,6,2817,0,0,1834,1,10946,1,0
198.88,?,4.2922,90,?,70629,26820,?,?,?,?,79,26,3210,13777,2,5300,1,9061,1,0
200,?,2.6593,30,?,36522,487560,-20,?,?,186,130,26,195,0,0,5684,2,5665,1,0
283.28,?,4.5922,78,?,134380,2475,-14,?,?,?,166,35,7842,16142,2,4864,2,1614,1,1
?,?,5.0963,8,?,?,?,4,?,0,138,262,34,7236,0,0,1065,1,10568,2,0
200,?,5.091,52,?,119360,169830,28,?,?,?,136,26,873,3384,2,2109,1,17252,1,0
253.52,?,1.341,52,?,86973,37368,10,?,?,330,366,26,5614,2284,0,1373,1,9233,2,0
?,?,2.7133,6,?,?,?,-18,0,?,282,6,26,2269,0,0,1948,2,5809,2,0
253.52,?,0.24247,32,?,?,100660,-24,?,?,?,347,26,1852,0,0,2261,2,4852,2,0
200,?,2.6919,34,?,337600,56160,10,?,?,?,366,26,5810,0,0,5915,1,10351,2,0
?,0,1.3734,4,0,?,?,-20,?,?,?,294,26,2566,0,0,5602,2,16131,2,0
166.56,?,5.3207,62,?,25239,683900,-30,?,?,366,192,26,3703,17247,2,3591,1,13913,1,0
253.52,?,6.154,14,?,?,0,4,?,?,210,325,26,2123,0,0,357,1,2291,2,0
186.64,?,6.852,30,?,3528,47925,6,?,?,?,264,26,7821,0,0,5567,1,67,2,0
66.88,?,0.37642,22,?,?,0,?,?,?,?,0,26,5566,0,0,5558,1,8490,1,0
?,?,0.30015,6,?,?,?,-18,0,?,?,16,26,6822,0,0,2503,2,17086,1,0
421.28,?,1.4809,28,?,?,0,4,?,?,300,250,26,2820,0,0,1956,1,248,2,0
133.12,?,1.3219,138,?,137750,32031,?,?,?,330,344,1,3063,11015,0,4809,1,4843,2,0
99.68,?,6.4766,124,?,?,576,-20,?,?,?,294,1,6822,18999,0,5424,2,1511,2,0
286.96,?,0.13181,112,?,53256,6939,44,?,?,?,380,1,6749,20501,2,2531,1,1468,1,0
266.4,?,1.1295,18,?,1320,0,-8,?,?,?,79,26,3978,0,0,5300,2,9061,1,0
286.96,?,5.6044,198,?,45426,74862,8,?,?,?,6,33,6422,1508,0,6021,1,13131,2,0
253.52,?,1.2393,56,?,?,27684,?,?,?,378,83,26,1878,12178,2,385,1,315,1,0
253.52,?,6.3553,130,?,2292,35955,-20,?,?,?,14,1,4016,4219,2,3069,2,1762,1,0
253.52,?,4.9015,56,?,59940,3195,-26,?,?,?,192,26,3244,7361,2,5288,1,249,1,0
166.56,?,0.093356,44,?,215880,0,20,?,?,258,257,26,713,0,0,3362,1,6188,2,0
253.52,?,4.2203,224,?,?,14994,-20,?,?,?,20,49,713,0,0,2046,2,8144,2,0
178.8,?,4.9039,142,?,13554,2583,-26,?,?,252,152,1,5644,21821,2,3441,1,10992,1,0
133.12,?,5.4717,180,?,87087,13698,38,?,?,?,346,37,3952,9122,0,4449,1,13457,2,0
253.52,?,3.3559,46,?,?,36720,22,?,?,252,147,26,4450,0,0,3217,1,17715,2,0
300.32,?,2.689,36,?,?,1530,-18,?,?,?,53,26,178,0,0,2862,2,4142,1,0
?,?,1.3553,6,?,?,?,?,0,?,?,216,26,1411,0,0,5300,1,9061,1,0
?,?,1.0329,6,?,?,?,-18,0,?,?,219,26,5859,0,0,1246,2,13886,1,0
233.44,?,0.56783,152,?,?,44514,?,?,?,?,335,6,5566,4857,2,3300,1,1641,2,0
524.4,?,0.092288,54,?,?,7668,?,?,?,162,369,26,2141,22053,0,2727,1,13899,2,0
353.84,?,4.467,14,?,17940,0,4,?,?,?,153,26,1277,0,0,4456,1,17018,1,0
220.08,?,1.5144,54,?,13962,882,28,?,?,?,379,26,1245,9075,0,4187,1,2631,2,0
233.44,?,1.9701,20,?,?,0,4,?,?,?,0,6,3528,0,0,1134,1,1153,2,0
265.2,?,3.363,70,?,475160,5832,-24,?,?,?,370,26,7912,0,0,4981,2,0,0,0
?,?,3.53,10,?,?,?,-26,?,?,?,360,26,7483,0,0,5279,1,13759,1,0
200,?,6.9562,126,?,211410,27009,?,?,?,?,314,46,420,14227,2,1978,1,663,2,0
220.08,?,1.9844,32,?,14274,18900,8,?,?,?,62,26,4028,0,0,3084,1,0,0,0
395.92,?,3.3587,12,?,95646,0,-28,?,?,?,164,26,2081,0,0,5561,1,10875,2,0
454.88,?,1.7152,30,?,110430,459,-20,?,?,?,314,26,1017,0,0,3413,2,5440,1,0
200,?,1.7451,80,?,29664,92718,-30,?,?,258,38,26,7611,14430,0,2532,1,3723,2,0
331.04,?,0.79449,114,?,?,4482,?,?,?,198,86,1,4044,5592,0,5101,1,14035,2,0
315.92,?,2.7473,56,?,?,?,32,?,?,246,348,26,5249,19344,0,3719,1,8850,2,0
266.4,?,3.2961,16,?,942,0,-8,?,?,318,95,26,1072,0,0,5848,2,18265,1,0
186.64,?,0.57936,88,?,11046,42021,?,?,?,?,135,6,4673,19489,0,6071,1,11788,2,0
313.36,?,0.69579,20,?,?,0,4,?,?,?,304,26,6289,0,0,5667,2,4130,1,0
342.8,?,4.9163,114,?,35025,26955,-28,?,?,?,267,1,2316,0,0,1484,1,7742,1,0
300.32,?,3.6785,32,?,141380,6480,6,?,?,?,35,6,8034,0,0,4111,1,4361,2,0
99.68,?,4.0799,208,?,?,25623,20,?,?,?,295,9,6512,19593,2,2897,1,9284,1,0
220.08,?,1.7189,54,?,77637,2178,-28,?,?,?,373,26,3472,20254,0,3817,1,14864,2,0
254.72,?,4.1218,32,?,118870,1710,6,?,?,?,276,26,6997,0,0,1631,1,10761,2,0
200,?,0.57167,32,?,26466,4545,-24,?,?,360,246,26,7855,0,0,1466,2,18058,2,0
200,?,6.9776,32,?,?,24327,4,?,?,?,7,26,1187,0,0,2363,1,10570,2,0
200,?,5.0226,206,?,40125,17829,32,?,?,270,33,11,4797,6603,0,2054,1,4450,2,0
286.96,?,2.9143,30,?,?,3861,6,?,?,?,268,26,2185,0,0,4649,1,11762,2,0
133.12,?,4.0551,114,?,2040,23058,20,?,?,180,269,1,5802,886,2,606,1,0,0,0
?,?,4.8567,6,?,?,?,-20,0,?,390,213,26,6923,0,0,3495,2,14274,2,0
269.6,?,1.5514,36,?,?,34443,12,?,?,?,183,26,2083,0,0,384,1,3797,2,0
186.64,?,6.5275,72,?,9621,7722,?,?,?,?,189,26,1265,705,0,2447,1,16834,2,0
233.44,?,6.2807,56,?,?,9,-26,?,?,?,274,26,7821,9872,2,4944,1,11808,1,0
213.36,?,6.5614,34,?,?,2844,?,?,?,354,114,26,688,0,0,1202,1,18762,1,0
419.76,?,4.9338,32,?,45117,65331,-18,?,?,?,56,26,4742,0,0,4195,2,14033,1,0
?,?,4.467,10,?,?,?,-14,?,?,?,274,26,4371,0,0,5898,2,5272,1,0
166.56,?,0.64046,72,?,47346,35685,24,?,?,?,374,26,873,14650,0,3890,1,7793,2,0
?,?,3.7909,8,?,?,?,-18,?,0,?,91,26,2990,0,0,5824,2,5747,2,0
?,?,4.1175,10,?,?,?,-20,?,?,?,250,26,5825,0,0,1997,2,1909,1,0
462.88,?,1.2181,14,?,138210,0,4,?,?,?,329,26,2506,0,0,1619,1,547,2,0
323.12,?,5.7642,26,?,40230,0,4,?,?,?,367,26,2959,0,0,5701,1,2535,2,0
133.12,?,6.6838,44,?,?,7209,-24,?,?,198,157,26,873,0,0,1864,2,11982,2,0
?,?,2.0026,10,?,?,?,4,?,?,?,130,26,5136,0,0,1029,1,14356,1,0
253.52,?,6.47,38,?,0,1521,14,?,?,?,335,26,7962,0,0,4634,1,1389,2,0
166.56,?,4.109,58,?,?,1125,?,?,?,?,80,6,2141,21053,2,6099,1,18335,2,0
133.12,?,6.1072,60,?,?,4770,34,?,?,?,392,26,5935,4929,0,5251,1,14275,1,0
98.48,?,1.6135,12,?,?,0,4,?,?,?,0,26,1265,0,0,5303,1,12517,2,0
166.56,?,5.0741,40,?,101850,24516,16,?,?,?,81,26,4837,0,0,350,1,11008,1,0
?,?,4.3971,8,?,?,?,-18,?,0,?,384,26,6279,0,0,3315,2,3068,1,0
166.56,?,0.96432,48,?,?,1818,24,?,?,156,335,26,4876,1921,0,6031,1,13412,2,0
166.56,?,5.5322,42,?,129880,3438,18,?,?,246,335,26,6279,0,0,5214,1,4917,2,0
359.52,?,0.67357,118,?,415050,15912,?,?,?,240,114,1,401,4378,0,97,1,13352,2,0
307.04,?,0.22153,40,?,122650,16587,-24,?,?,198,68,26,3820,0,0,4920,2,455,2,0
297.04,?,0.71545,86,?,?,11853,?,?,?,?,203,6,2053,20810,2,2595,1,18160,1,0
153.2,?,3.22,48,?,?,15219,?,?,?,?,50,26,6997,0,0,3657,1,11898,2,0
?,0,1.9239,4,0,?,?,-20,?,?,?,53,26,3338,0,0,2018,2,15192,1,0
186.64,?,4.7915,50,?,?,6165,?,?,?,198,14,26,3076,21110,2,1642,1,10050,1,0
186.64,?,3.6076,32,?,5997,2079,?,?,?,?,384,26,3825,0,0,1441,1,5803,1,0
?,?,3.0773,10,?,?,?,-14,?,?,?,309,26,6836,0,0,4819,2,15809,2,0
316.64,?,4.2846,20,?,42267,0,4,?,?,?,102,26,4826,0,0,1123,1,11628,2,0
166.56,?,1.1017,98,?,?,72306,?,?,?,312,15,26,5733,21455,2,5311,1,7324,1,0
233.44,?,1.7733,84,?,?,1350,-22,?,?,?,80,26,1150,1575,0,1019,2,13076,2,0
253.52,?,1.041,180,?,4287,32760,?,?,?,360,148,26,789,12992,2,5718,1,9078,1,0
200,?,6.2805,86,?,97428,29682,?,?,?,?,262,35,5566,4925,0,339,1,15665,2,0
240.56,?,1.8263,86,?,?,8460,2,?,?,300,84,26,2959,13840,0,5365,1,18888,2,0
0,?,4.5362,64,?,?,48114,?,?,?,?,320,26,5935,2727,0,5033,1,13952,2,0
?,?,2.7723,8,?,?,?,4,?,0,468,321,26,3324,0,0,3331,1,16617,1,0
220.08,?,0.099551,72,?,100090,15174,40,?,?,?,325,26,4798,0,0,3143,1,16121,1,0
166.56,?,4.395,156,?,4668,34992,?,?,?,?,203,1,873,21475,2,2595,1,18160,1,0
253.52,?,4.4772,128,?,20994,21456,?,?,?,?,365,1,2432,12019,2,105,1,11833,1,0
140.96,?,4.909,52,?,?,1647,?,?,?,156,182,26,1449,6262,0,2908,1,2542,1,0
459.52,?,3.7567,26,?,?,0,4,?,?,204,262,26,5802,0,0,1596,1,5888,2,0
253.52,?,6.0773,114,?,145590,15993,42,?,?,198,6,26,1277,15606,0,2020,1,11129,2,0
186.64,?,2.3053,42,?,4104,450,?,?,?,?,308,26,2820,0,0,5943,1,8138,1,0
320.4,?,6.5631,102,?,?,127890,4,?,?,132,253,1,1852,14632,2,3786,1,7343,1,0
279.84,?,6.3465,24,?,14274,0,4,?,?,?,321,26,5515,0,0,1535,1,8616,2,0
223.44,?,5.4873,52,?,522,82935,?,?,?,?,15,26,6254,10587,2,2521,1,13028,1,0
220.08,?,2.1506,172,?,?,4365,-28,?,?,?,306,1,3289,564,2,622,1,8645,2,0
200,?,1.2867,84,?,?,36081,?,?,?,168,325,26,5645,22618,2,816,1,17840,1,0
260.56,?,6.6582,20,?,?,0,4,?,?,174,114,26,5935,0,0,4693,1,3905,1,0
166.56,?,5.3813,28,?,?,?,?,?,?,?,264,26,2776,0,0,3367,1,10298,2,0
166.56,?,4.113,48,?,?,585,?,?,?,?,352,26,6289,16224,2,3955,1,5551,1,0
220.08,?,4.0269,30,?,?,2511,-30,?,?,?,10,6,3161,0,0,4268,1,1671,1,0
166.56,?,5.0171,68,?,?,103920,-30,?,?,?,194,26,2210,0,0,3487,1,17438,1,0
186.64,?,4.0675,120,?,31155,6021,4,?,?,?,268,1,1150,0,0,3523,1,17853,2,0
233.44,?,6.4584,106,?,57150,6309,58,?,?,204,9,1,6863,11084,2,1358,1,11092,1,0
176.56,?,2.4931,106,?,216650,36531,?,?,?,?,359,1,6254,11677,0,3377,1,10377,2,0
?,?,5.7285,10,?,?,?,?,?,?,162,205,26,6997,0,0,4815,1,16518,1,0
?,?,1.0021,8,?,?,?,?,?,0,?,215,26,6822,0,0,2649,1,2953,2,0
166.56,?,1.3153,54,?,?,10161,30,?,?,?,94,26,7891,15877,2,301,1,3996,1,0
186.64,?,0.62316,24,?,445900,0,4,?,?,426,273,26,6997,0,0,3005,1,18795,1,0
253.52,?,3.8013,38,?,21678,171,14,?,?,?,115,26,1412,0,0,4782,1,11353,1,0
605.6,?,4.1935,48,?,123130,12672,-20,?,?,210,250,26,4412,0,0,159,2,15980,2,1
200,?,3.8443,64,?,?,5706,?,?,?,?,147,26,1758,19740,0,2474,1,6665,2,0
444.24,?,0.48878,54,?,?,1620,?,?,?,?,247,26,2806,20754,2,5245,1,15865,1,0
186.64,?,6.3125,54,?,?,10737,30,?,?,?,205,26,7820,0,0,2332,1,12248,2,0
?,?,2.5616,10,?,?,?,4,?,?,300,357,26,6279,0,0,4430,1,7582,1,0
265.52,?,5.1589,148,?,180630,19746,-26,?,?,174,107,1,2726,10173,2,229,1,1274,1,0
297.52,?,6.919,38,?,188490,3312,-12,?,?,?,176,26,1062,0,0,4944,2,11808,1,0
173.2,?,1.2,168,?,469060,32742,-20,?,?,?,191,1,929,11720,2,1550,2,13059,1,0
213.36,?,1.8304,58,?,?,8316,32,?,?,?,130,26,7902,3663,2,4218,1,10556,1,0
233.44,?,4.505,98,?,?,184320,-26,?,?,234,268,26,2088,0,0,4594,1,0,0,0
166.56,?,4.9677,134,?,84855,31851,4,?,?,?,48,6,4797,15823,0,356,1,600,2,0
166.56,?,2.9137,88,?,?,35604,-30,?,?,300,68,26,873,6168,0,4119,1,15743,2,0
210,?,6.5954,50,?,?,16515,24,?,?,?,232,26,3619,5117,0,5636,1,4657,2,0
142.96,?,3.4901,76,?,26760,1197,?,?,?,240,311,26,7485,0,0,783,1,17556,1,0
166.56,?,6.8423,78,?,?,2736,?,?,?,?,294,26,6997,5973,0,3401,1,18772,2,0
375.68,?,5.4091,14,?,222,0,4,?,?,264,67,26,3324,0,0,3143,1,16121,1,0
294.16,?,3.8126,154,?,?,97227,?,?,?,306,169,1,2806,11196,0,1218,1,11636,2,0
200,?,2.636,96,?,386460,12564,?,?,?,?,125,26,1277,7749,0,599,1,9062,2,0
166.56,?,0.53578,160,?,0,10188,62,?,?,?,43,1,1703,17396,0,2215,1,9025,1,0
253.52,?,6.9534,146,?,457670,134500,?,?,?,?,18,18,4016,7471,0,969,1,11977,2,0
186.64,?,6.6608,162,?,?,10935,?,?,?,?,348,19,3686,4165,0,1338,1,10587,2,0
220.08,?,6.5715,38,?,77691,60102,14,?,?,180,236,26,6709,0,0,1856,1,10911,1,0
166.56,?,0.80004,14,?,3519,0,4,?,?,?,360,26,5009,0,0,960,1,7655,1,0
200,?,2.7911,114,?,?,72684,?,?,?,222,325,1,2141,18790,2,2565,1,16271,1,0
?,?,2.6614,8,?,?,?,4,?,0,372,15,26,3819,0,0,3466,1,16831,1,0
